energy,I,Q,U
2.1,5.642305204918603,-0.007414886867257724,0.001032422794657126
2.3000000000000003,5.2668719350023085,-0.02372011865961447,-0.024033569054617235
2.5000000000000004,4.607066523348836,0.037435641701453755,0.00488667047192672
2.7000000000000006,3.896574543492384,0.02272047729786127,0.006890962063894661
2.900000000000001,3.2012698158871893,0.00701986209550545,0.007660993032749948
3.100000000000001,2.6168957689883685,-0.042308052373362014,-0.020826405407104853
3.300000000000001,2.1206297399216343,0.018196096444317855,-0.0026211832308262227
3.5000000000000013,1.7287329624745698,-0.01089321709076778,-0.005784582950129264
3.7000000000000015,1.3866036813576241,-0.010717834387280727,-0.0041579501117078
3.9000000000000017,1.1310861087035897,0.005708404473633831,-0.007155499472083543
4.100000000000001,0.9344645920768618,-0.01024654391834438,-0.014714262963400969
4.3000000000000025,0.7586605734798096,0.007597669782905025,0.015555222800377836
4.500000000000002,0.6194659243010099,-0.014946490140350965,-0.0037709298353882366
4.700000000000003,0.5117737309085498,-0.005252379908370937,-0.0007538172437224178
4.900000000000002,0.42279024241378665,-0.014504574211154355,-0.006354361320715049
5.100000000000003,0.34261542412506574,0.0032818255773912593,0.001300959091418597
5.3000000000000025,0.2831075137021033,0.009116485628758025,-0.005067683100730663
5.5000000000000036,0.23917070193975395,-0.007657966948728525,0.002261369922991828
5.700000000000003,0.19660740236310784,-6.098545198265828e-06,-0.012167082903489512
5.900000000000004,0.16379511013997552,0.0013775513597290374,0.00038112036140084435
6.100000000000003,0.1393679004855681,0.0010804336685128924,-0.001347345905405511
6.300000000000004,0.11622544540953772,-0.002042324938720433,0.007173255315599216
6.5000000000000036,0.09265971557897483,0.0028138740241522853,6.379303424546625e-05
6.700000000000005,0.07617793072708282,0.007956315664142389,-0.002263508248617563
6.900000000000004,0.06045929805967738,0.0029812907064868605,-0.0032990199030352957
7.100000000000005,0.04440936628109142,-0.003205695139679192,-0.004637816358176474
7.300000000000004,0.034830270696340725,0.0010696813345199658,-0.0021748744819391043
7.500000000000005,0.026391768391243884,-0.0006880054167449224,-0.0011073764368266141
7.700000000000005,0.018076177456976695,0.00043368055526930643,-0.0027298539159090153
7.900000000000006,0.012105874264061713,0.0017101663951585425,-0.0013775124390201989
