# PD and PA using xStokesAnalysis class from ixpeobssim. Seems much closer to xpqlt. Suspect only deviation is from not background subtracting,
# but on average that should not affect the PA really. Just decrease the PD. Also technically is using the same mod and effective area for all 3 detectors,
# but for our purposes it shouldn't really change much at all.
obs,PD,dPD,PA,dPA
swift_j151857/03250201,4.4443669864606704e-05,0.0024285640836549122,-34.70409262592282,1565.425095426202
gx_339-4/03005101,0.002403791070994826,0.0023257703549263843,-39.20322516402661,27.71805801997014
gx_339-4/03005301,0.0038188646907246046,0.003730036965146236,-33.50118882870549,27.98153970399502
v395_car/03001201,0.026205501474435035,0.017131414652077202,-18.709045405461374,18.728588605711302
srga_j144459/03250101,0.02277666053419701,0.004316215090094597,60.72237336643015,5.428907580456514
exo_2030+375/02250201,0.005114661311668569,0.004845353960311549,42.087843213846085,27.13948866182929
ser_x-1/03003901,0.009515150180067895,0.005977704334026988,-35.07155926189082,17.997513459741988
swift_j0234/02250799,0.02197117592755377,0.0019957388181625134,8.23349704582537,2.6022541674167785
gx_13+1/03001101,0.027475808561464095,0.0037792140188372455,22.926665095747705,3.9405216116693387
gx_13+1/02006801,0.010663188021736505,0.0032312220520077837,-4.441148749048668,8.681082712053165
gx_13+1/03003401,0.014231341793703292,0.003319991307320257,-15.95642638022447,6.6832301355505495
gs_1826-238/01002801,0.004193623531755026,0.003832710054915653,37.87829632102235,26.182395900172864
her_x-1/01001899,0.061193156675781776,0.00619828814612175,60.06954450869095,2.9021792066821686
her_x-1/02003901,0.14425837335930128,0.013286285320070266,40.63562221415228,2.640525748139531
her_x-1/02004001,0.080053086470787,0.006189862763651539,47.85708872564787,2.215608621738522
her_x-1/02003801,0.09957985732737204,0.01657769770442139,37.935415467873256,4.7710991620964345
her_x-1/02004101,0.09269159665778731,0.006342903764687011,50.49717953016349,1.9609650269433059
4u_1820-303/02002399,0.006270694902444791,0.003256437382914157,-58.07409572212238,14.87716453997326
